comp_a,comp_b,gap_m,a_km,b_km,rescued_km,joined_km,score,rank,label
0,2,34.92831318751612,4.3183442988800556,0.4732258898377732,0.4732258898377732,4.791570188717829,1.3548489653571676,1,C0-C2
2,8,9.311110114161908,0.4732258898377732,0.11951415254789811,0.11951415254789811,0.5927400423856714,1.283565021598454,2,C2-C8
2,13,6.37772552471087,0.4732258898377732,0.07037447997847644,0.07037447997847644,0.5436003698162496,1.1034416533889144,3,C2-C13
2,9,12.33154614024184,0.4732258898377732,0.11776038943973173,0.11776038943973173,0.5909862792775049,0.9549523482334573,4,C2-C9
0,7,16.02700273225794,4.3183442988800556,0.13347767049975942,0.13347767049975942,4.451821969379815,0.8328298979515718,5,C0-C7
11,14,7.392324741755258,0.07190144032541453,0.056677800300382566,0.056677800300382566,0.1285792406257971,0.7667114511385061,6,C11-C14
0,3,94.39995079861683,4.3183442988800556,0.3582013513023865,0.3582013513023865,4.676545650182442,0.3794507817769276,7,C0-C3
0,5,57.686033460322385,4.3183442988800556,0.15850756048132036,0.15850756048132036,4.476851859361376,0.27477632101424526,8,C0-C5
0,10,45.47985850576421,4.3183442988800556,0.11192380140545047,0.11192380140545047,4.430268100285506,0.246095315778665,9,C0-C10
16,17,11.636333807563451,0.01874942346097823,0.01634593127713173,0.01634593127713173,0.03509535473810996,0.14047320700362778,10,C16-C17
0,6,113.98709633782839,4.3183442988800556,0.1511150614659793,0.1511150614659793,4.469459360346034,0.13257207729734002,11,C0-C6
8,12,54.062938666381065,0.11951415254789811,0.07162677602940193,0.07162677602940193,0.19114092857730003,0.13248775926038014,12,C8-C12
1,5,141.99360751683167,1.9135941992629315,0.15850756048132036,0.15850756048132036,2.072101759744252,0.11163006789762078,13,C1-C5
6,10,105.61086956635009,0.1511150614659793,0.11192380140545047,0.11192380140545047,0.26303886287142975,0.10597753987352058,14,C6-C10
1,12,74.6146738296566,1.9135941992629315,0.07162677602940193,0.07162677602940193,1.9852209752923335,0.09599556274001014,15,C1-C12
9,10,164.07590424147497,0.11776038943973173,0.11192380140545047,0.11192380140545047,0.2296841908451822,0.06821464853286999,16,C9-C10
6,13,106.1359149279363,0.1511150614659793,0.07037447997847644,0.07037447997847644,0.22148954144445576,0.06630600021327276,17,C6-C13
2,5,255.6919248442354,0.4732258898377732,0.15850756048132036,0.15850756048132036,0.6317334503190936,0.06199161767735972,18,C2-C5
6,9,193.46788489120212,0.1511150614659793,0.11776038943973173,0.11776038943973173,0.268875450905711,0.06086818466328664,19,C6-C9
8,9,205.5268411602155,0.11951415254789811,0.11776038943973173,0.11776038943973173,0.23727454198762984,0.05729684199638592,20,C8-C9
9,13,125.60591948060399,0.11776038943973173,0.07037447997847644,0.07037447997847644,0.18813486941820817,0.05602799634721327,21,C9-C13
0,8,215.609250622727,4.3183442988800556,0.11951415254789811,0.11951415254789811,4.437858451427954,0.05543090206135169,22,C0-C8
8,14,117.09748337557026,0.11951415254789811,0.056677800300382566,0.056677800300382566,0.17619195284828068,0.048402236040033554,23,C8-C14
0,9,270.08938023207577,4.3183442988800556,0.11776038943973173,0.11776038943973173,4.436104688319787,0.043600525625459796,24,C0-C9
1,8,283.7092215669935,1.9135941992629315,0.11951415254789811,0.11951415254789811,2.0331083518108297,0.04212557910095168,25,C1-C8
5,15,78.8232164434901,0.15850756048132036,0.024629637639583875,0.024629637639583875,0.18313719812090423,0.03124667927911993,26,C5-C15
2,12,283.7909408965993,0.4732258898377732,0.07162677602940193,0.07162677602940193,0.5448526658671751,0.025239275011072152,27,C2-C12
0,14,237.2446417049377,4.3183442988800556,0.056677800300382566,0.056677800300382566,4.3750220991804385,0.023890023350189304,28,C0-C14
1,14,277.17999662510954,1.9135941992629315,0.056677800300382566,0.056677800300382566,1.970271999563314,0.020448012479428745,29,C1-C14
4,15,146.36039257456645,0.1756104972206191,0.024629637639583875,0.024629637639583875,0.20024013486020298,0.01682807568791931,30,C4-C15
2,16,170.80862741516708,0.4732258898377732,0.01874942346097823,0.01874942346097823,0.49197531329875144,0.01097685974339336,31,C2-C16
2,17,153.65534754441802,0.4732258898377732,0.01634593127713173,0.01634593127713173,0.48957182111490494,0.010638049074345764,32,C2-C17
0,18,112.73958740350642,4.3183442988800556,0.010188861947568137,0.010188861947568137,4.328533160827623,0.009037519279808224,33,C0-C18
1,16,255.3540265646884,1.9135941992629315,0.01874942346097823,0.01874942346097823,1.9323436227239097,0.007342521170790494,34,C1-C16
1,17,267.4194284937011,1.9135941992629315,0.01634593127713173,0.01634593127713173,1.9299401305400632,0.0061124696022289,35,C1-C17
